name,cuisine,category,location,price,lat,lng
Lena,French,Cafe|Drinks|Quick Bites,Greenwich Village|LES,2,40.7325078,-73.99670379999999
Lao Ma Spicy,Chinese,Lunch/Dinner,Greenwich Village,2,40.7309128,-73.9934956
Brooklyn Bagel & Coffee Co,Bagels,Cafe|Quick Bites,Greenwich Village|Chelsea,2,40.7310311,-73.9931617
Brooklyn Bagel & Coffee Co,Bagels,Cafe|Quick Bites,Greenwich Village|Chelsea,2,40.7461674,-73.99764069999999
iSouvlaki,Mediterranean,Quick Bites|Lunch/Dinner,East Village,2,40.7321753,-73.98831009999999
Pepe Rosso To Go,Italian,Quick Bites|Lunch/Dinner,South Village,1,40.7272222,-74.00162499999999
Junzi Kitchen,Chinese,Quick Bites,South Village|Midtown,2,40.7286951,-74.0006611
Junzi Kitchen,Chinese,Quick Bites,South Village|Midtown,2,40.7261367,-74.00499409999999
Pommes Frites,French,Quick Bites,South Village,1,40.7301222,-74.0002813
Tipsy Shanghai,Chinese,Lunch/Dinner,Greenwich Village,2,40.7292608,-73.9987785
Cafe Leon Dore,Coffee,Cafe,Nolita,2,40.7221964,-73.9960802
Misirizzi,Italian,Lunch/Dinner|Date Night,Noho,2,40.72720109999999,-73.9922849
Fried Dumpling,Chinese,Quick Bites,Chinatown,1,40.7145546,-73.9992711
Hoy Wong,Chinese,Quick Bites,Chinatown,1,40.7165931,-73.9980315
Gammeeok,Korean,Lunch/Dinner,Koreatown,2,40.74771519999999,-73.9860561
Thai Villa,Thai,Lunch/Dinner,Chelsea,2,40.73898519999999,-73.99070019999999
The Blond,Bar,Bar|Drinks,Soho,4,40.71921690000001,-74.0001156
The Woo,Korean,Lunch/Dinner|Drinks,South Village,2,40.72521709999999,-74.00378280000001
Fig. 19,Bar,Bar|Drinks|Speakeasy,LES,2,40.7195451,-73.99366490000001
Mister Paradise,Bar,Bar|Drinks,East Village,2,40.7267727,-73.986222
American Whiskey,American,Lunch/Dinner|Brunch|Drinks|Bar,Tribeca,2,40.7189236,-74.0068996
Katz's Delicatessen,Jewish,Lunch/Dinner|Quick Bites,LES,2,40.722233,-73.98742899999999
Dim Sum Chelsea,Chinese|Dim Sum,Lunch/Dinner|Brunch,Chelsea,2,40.7446121,-73.99862900000001
Felix Roasting Co.,Coffee,Cafe,Soho,2,40.7243894,-73.9996615
Astor Plate,American,Cafe|Quick Bites,Noho,1,40.7294833,-73.9911523
GITANO,Mexican,Lunch/Dinner|Drinks|Bar|Date Night,South Village,3,40.7228793,-74.005826
Blue Stripes Cacao,Coffee|Bakery,Desserts|Quick Bites|Cafe,Greenwich Village,2,40.7346342,-73.992897
230 Fifth Rooftop,Bar,Bar|Drinks|Rooftop,Nomad,2,40.74400199999999,-73.9880767
Rubirosa,Italian,Lunch/Dinner,Nolita,2,40.7227471,-73.9962025
Gelso and Grand,Italian,Lunch/Dinner,Little Italy,2,40.7195839,-73.99734029999999
The Roof at PUBLIC,Bar,Bar|Drinks|Rooftop,LES,3,40.7228758,-73.9918508
MONO+MONO,Korean,Lunch/Dinner|Drinks|Date Night,East Village,2,40.7254016,-73.9881049
Merriweather Coffee + Kitchen,Australian,Cafe|Brunch|Quick Bites,Greenwich Village,2,40.7305602,-74.0065341
Lil Frankie's,Italian,Lunch/Dinner|Drinks,East Village,2,40.7236464,-73.9884794
A Pasta Bar,Italian,Lunch/Dinner,Soho,2,40.7223733,-74.0039913
Raclette,French,Lunch/Dinner,East Village,2,40.7289261,-73.9806299
Round K by Sol,Coffee,Brunch|Cafe,Chinatown,2,40.7150818,-73.9931521
Remi Flower & Coffee,Coffee,Cafe|Quick Bites,Murray Hill|Midtown East,2,40.7535755,-73.9702924
Remi Flower & Coffee,Coffee,Cafe|Quick Bites,Murray Hill|Midtown East,2,40.7508628,-73.9732778
Butler,American|Coffee,Brunch|Cafe|Desserts,DUMBO|Williamsburg|Soho,2,40.7035615,-73.9925098
Butler,American|Coffee,Brunch|Cafe|Desserts,DUMBO|Williamsburg|Soho,2,40.711249,-73.9661513
Butler,American|Coffee,Brunch|Cafe|Desserts,DUMBO|Williamsburg|Soho,2,40.720785,-73.9992466
Butler,American|Coffee,Brunch|Cafe|Desserts,DUMBO|Williamsburg|Soho,2,40.7199467,-73.9612837
Mokyo,Korean,Lunch/Dinner,East Village,3,40.7271382,-73.9839549
% ARABICA,Coffee,Cafe,DUMBO,2,40.7024312,-73.9941401
Kobrick Coffee Co.,Coffee,Cafe|Drinks,Meatpacking District,2,40.7403278,-74.00558889999999
Cutlets Sandwich Co.,American,Quick Bites,Midtown|Williamsburg,2,40.7222385,-73.9579522
Cutlets Sandwich Co.,American,Quick Bites,Midtown|Williamsburg,2,40.752121,-73.9929004
Catch NYC,Seafood|Bar,Bar|Rooftop|Lunch/Dinner|Drinks,Meatpacking District,3,40.7402172,-74.0062995
Veranda,American,Lunch/Dinner|Date Night|Drinks,South Village,3,40.7228013,-74.00482699999999
Forsythia,Italian,Lunch/Dinner|Date Night|Drinks,LES,2,40.7225352,-73.99249189999999
Very Fresh Noodles,Chinese,Quick Bites|Lunch/Dinner,Chelsea,2,40.7420723,-74.00564539999999
Somewhere Nowhere,Bar,Bar|Drinks|Rooftop,Nomad,3,40.7443203,-73.9926957
Ralph's Coffee,Coffee,Cafe,Chelsea|Midtown|Upper East Side,2,40.77165859999999,-73.9657658
Ralph's Coffee,Coffee,Cafe,Chelsea|Midtown|Upper East Side,2,40.7401079,-73.9908573
Ralph's Coffee,Coffee,Cafe,Chelsea|Midtown|Upper East Side,2,40.7589962,-73.9772973
Dim Sum Go Go,Chinese|Dim Sum,To Share|Lunch/Dinner|Brunch,Chinatown,2,40.7132926,-73.9977449
5ive Spice Taco & Banh Mi,Vietnamese,Lunch/Dinner,Nolita|Park Slope,1,40.7225117,-73.9965196
5ive Spice Taco & Banh Mi,Vietnamese,Lunch/Dinner,Nolita|Park Slope,1,40.6814473,-73.979433
Cafe China,Chinese,Lunch/Dinner,Midtown,2,40.7516966,-73.98574219999999
HOWM Cocina & Cocktails,Latin American,Bar|Brunch|To Share|Drinks,Chelsea,2,40.7505506,-74.003378
Gallow Green,American|Bar,Bar|Brunch|Lunch/Dinner|Rooftop|Drinks,Chelsea,3,40.7508409,-74.0040482
Kogane Ramen,Japanese,Lunch/Dinner|Drinks,Chelsea,2,40.7406794,-74.0043019
Marian's,American,Brunch|Drinks|Date Night,Greenwich Village,2,40.7349369,-73.9998638
